displayName,Position,BaseSalary,SigningBonus,RosterBonus,OptionBonus,WorkoutBonus,RestructuringBonus,Misc.,DeadCap,CapHit,CapPercentage,Team,TeamBaseSalary,TeamSigningBonus,TeamCapHit,TeamPercentageOfCapUsed
Larry Fitzgerald,WR,"$11,000,000 ","$2,500,000 ",-,"$2,350,000 ",-,-,"$1,000,000 ","($15,850,000)","$16,850,000 ",9.42,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Chandler Jones,DE,"$12,500,000 ","$3,000,000 ",-,-,-,-,-,"($36,000,000)","$15,500,000 ",8.67,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Patrick Peterson,CB,"$11,000,000 ","$3,072,377 ",-,-,"$250,000 ","$634,588 ",-,"($16,226,141)","$14,956,965 ",8.37,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Deone Bucannon,OLB,"$8,718,000 ",-,-,-,-,-,-,"($8,718,000)","$8,718,000 ",4.88,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Jermaine Gresham,TE,"$5,250,000 ","$1,750,000 ","$218,750 ",-,-,-,-,"($12,750,000)","$7,218,750 ",4.04,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
David Johnson,RB,"$1,882,500 ","$3,159,844 ",-,-,-,-,-,"($24,266,844)","$5,042,344 ",2.82,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Antoine Bethea,FS,"$1,015,000 ","$666,666 ","$234,375 ",-,-,"$1,492,500 ","$250,000 ","($5,333,336)","$3,658,541 ",2.05,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Josh Rosen,QB,"$480,000 ","$2,719,592 ",-,-,-,-,-,"($17,597,756)","$3,199,592 ",1.79,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Haason Reddick,OLB,"$1,077,635 ","$1,985,539 ",-,-,-,-,-,"($5,956,618)","$3,063,174 ",1.71,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Corey Peters,DT,"$1,250,000 ","$687,500 ","$703,125 ",-,-,-,-,"($3,312,500)","$2,640,625 ",1.48,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Andy Lee,P,"$1,015,000 ","$362,500 ","$1,250,000 ",-,-,-,-,"($2,377,500)","$2,627,500 ",1.47,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Tre Boston,FS,"$1,000,000 ","$300,000 ","$175,000 ",-,-,-,"$1,000,000 ","($1,300,000)","$2,475,000 ",1.38,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Mike Glennon,QB,"$1,000,000 ","$1,000,000 ",-,-,-,-,-,"($5,000,000)","$2,000,000 ",1.12,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
J.J. Nelson,WR,"$1,907,000 ","$52,450 ",-,-,-,-,-,"($52,450)","$1,959,450 ",1.1,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Budda Baker,SS,"$775,455 ","$776,819 ",-,-,-,-,-,"($3,105,913)","$1,552,274 ",0.87,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Benson Mayowa,DE,"$790,000 ","$310,000 ","$234,375 ",-,-,-,-,"($1,100,000)","$1,334,375 ",0.75,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Markus Golden,DE,"$969,318 ","$277,424 ",-,-,-,-,-,"($277,424)","$1,246,742 ",0.7,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Aaron Brewer,LS,"$790,000 ","$68,750 ","$25,000 ",-,-,-,-,"($1,065,000)","$883,750 ",0.49,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Rodney Gunter,DT,"$705,000 ","$127,480 ",-,-,-,-,-,"($127,480)","$832,480 ",0.47,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Brandon Williams,CB,"$656,000 ","$168,173 ",-,-,-,-,-,"($336,349)","$824,173 ",0.46,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Chad Williams,WR,"$581,500 ","$176,572 ",-,-,-,-,-,"($529,716)","$758,072 ",0.42,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Zach Moore,DE,"$705,000 ",-,-,-,-,-,-,-,"$705,000 ",0.39,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Mason Cole,C,"$480,000 ","$190,379 ",-,-,-,-,-,"($761,516)","$670,379 ",0.37,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Derrick Coleman,FB,"$790,000 ",-,-,-,-,-,-,"($790,000)","$630,000 ",0.35,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Gerald Hodges,OLB,"$790,000 ",-,-,-,-,-,-,"($790,000)","$630,000 ",0.35,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Chase Edmonds,RB,"$480,000 ","$113,089 ",-,-,-,-,-,"($452,359)","$593,089 ",0.33,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Johnathan Ford,S,"$555,000 ","$35,045 ",-,-,-,-,-,"($105,136)","$590,045 ",0.33,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Daniel Munyer,C,"$555,000 ",-,-,-,-,-,-,-,"$555,000 ",0.31,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Ricky Seals-Jones,TE,"$555,000 ",-,-,-,-,-,-,-,"$555,000 ",0.31,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
T.J. Logan,RB,"$480,000 ","$50,484 ",-,-,-,-,-,"($151,453)","$530,484 ",0.3,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Joe Walker,ILB,"$489,706 ",-,-,-,-,-,-,-,"$489,705 ",0.27,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Trent Sherfield,WR,"$480,000 ","$3,333 ",-,-,-,-,-,"($10,000)","$483,333 ",0.27,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
Dennis Gardeck,OLB,"$480,000 ","$2,000 ",-,-,-,-,-,"($6,000)","$482,000 ",0.27,Arizona Cardinals,"$75,111,527 ","$23,557,016 ","$107,921,249 ",60.36
