displayName,Position,BaseSalary,SigningBonus,RosterBonus,OptionBonus,WorkoutBonus,RestructuringBonus,Misc.,DeadCap,CapHit,CapPercentage,Team,TeamBaseSalary,TeamSigningBonus,TeamCapHit,TeamPercentageOfCapUsed,DraftYear,CombinePosition,HandSize,ArmLength,Wonderlic,nflId,birthDate,collegeName,position,BDBHeight,BDBWeight,SixtyYardShuttle,DBPos,pick,FortyYdDash,ProShuttle,Vertical,ThreeConeDrill,BroadJump,BenchPress,Height,Weight,BruteForce
Isaiah Oliver,CB,480000,363026,NA,NA,NA,NA,NA,-2142861,843026,0.47,Atlanta Falcons,97467616,34590391,141338061,79.26,2018,CB,NA,33.5,NA,2560830,9/30/96,Colorado,CB,72,210,NA,DB,58,4.5,NA,NA,NA,NA,NA,72.25,190,1
Brandon Carr,CB,4500000,1.00E+06,1500000,NA,NA,NA,NA,-9.00E+06,7.00E+06,3.88,Baltimore Ravens,88996142,43915544,150160923,83.2,2008,NA,NA,NA,NA,4365,5/19/86,Grand Valley State,CB,72,210,NA,DB,140,NA,NA,NA,NA,NA,NA,72.13,207,1
Anthony Averett,CB,480000,165249,NA,NA,NA,NA,NA,-660997,645249,0.36,Baltimore Ravens,88996142,43915544,150160923,83.2,2018,CB,NA,30.25,NA,2560963,11/30/94,Alabama,CB,71,178,NA,DB,118,4.36,4.4,31.5,6.93,119,13,71.125,185,1
Tre'Davious White,CB,923687,1369747,NA,NA,NA,NA,NA,-6415303,2293434,1.21,Buffalo Bills,63071632,28502775,104008378,55.09,2017,CB,NA,32.125,NA,2557867,1/16/95,Louisiana State,CB,71,192,NA,DB,27,4.47,4.32,32,6.9,117,16,71.25,192,1
Lafayette Pitts,CB,630000,NA,NA,NA,NA,NA,NA,NA,630000,0.33,Buffalo Bills,63071632,28502775,104008378,55.09,2016,NA,NA,NA,NA,2556652,9/24/92,Pittsburgh,CB,71,195,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Ryan Lewis,CB,423525,NA,NA,NA,NA,NA,NA,NA,423525,0.22,Buffalo Bills,63071632,28502775,104008378,55.09,2017,NA,NA,NA,NA,2559208,4/15/94,Pittsburgh,CB,72,195,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Levi Wallace,CB,225880,NA,NA,NA,NA,NA,NA,NA,225880,0.12,Buffalo Bills,63071632,28502775,104008378,55.09,2018,CB,NA,32.75,NA,2560914,6/12/95,Alabama,CB,72,179,NA,DB,300,4.63,NA,33,NA,NA,NA,72.25,179,1
Denzel Rice,CB,148236,NA,NA,NA,NA,NA,NA,NA,148236,0.08,Buffalo Bills,63071632,28502775,104008378,55.09,2015,NA,NA,NA,NA,2553736,3/31/93,Coastal Carolina,DB,72,185,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Taron Johnson,CB,459346,161517,NA,NA,NA,NA,NA,-646068,620863,0.33,Buffalo Bills,63071632,28502775,104008378,55.09,2018,CB,NA,30.875,NA,2560766,7/27/96,Weber State,CB,71,192,NA,DB,121,4.5,4.28,33,7.03,118,17,71.125,180,1
Captain Munnerlyn,CB,1900000,1500000,5.00E+05,NA,1.00E+05,NA,NA,-6500000,4.00E+06,2.2,Carolina Panthers,80808529,36884492,138090418,76.04,2009,CB,NA,31,NA,80668,4/10/88,South Carolina,CB,69,195,NA,DB,216,4.51,4.2,37.5,7.15,121,19,68.5,182,1
Donte Jackson,CB,480000,395004,NA,NA,NA,NA,NA,-2278768,875004,0.48,Carolina Panthers,80808529,36884492,138090418,76.04,2018,CB,NA,29.5,NA,2560753,11/8/95,Louisiana State,CB,70,180,NA,DB,55,4.32,NA,NA,NA,124,7,70.5,175,1
Sherrick McManis,CB,1100000,3.00E+05,81250,NA,NA,NA,NA,-1700000,1481250,0.8,Chicago Bears,78832156,44771645,151948529,82.22,2010,CB,NA,30.75,NA,494289,12/19/87,Northwestern,CB,71,203,NA,DB,144,4.48,NA,NA,NA,NA,NA,71,195,1
Kevin Toliver,CB,480000,5000,NA,NA,NA,NA,NA,-15000,485000,0.26,Chicago Bears,78832156,44771645,151948529,82.22,2018,CB,NA,30.125,NA,2560901,11/24/95,Louisiana State,DB,74,199,NA,DB,300,NA,NA,33,NA,120,10,74,192,1
Bryce Callahan,CB,1907000,NA,NA,NA,NA,NA,NA,NA,1907000,1.03,Chicago Bears,78832156,44771645,151948529,82.22,2015,CB,NA,30.625,NA,2553500,10/23/91,Rice,CB,69,188,NA,DB,300,4.49,NA,NA,NA,NA,NA,69.125,184,1
Tony McRae,CB,555000,NA,NA,NA,NA,NA,NA,NA,555000,0.29,Cincinnati Bengals,71528972,17516595,112195970,59.43,2016,NA,NA,NA,NA,2556817,5/3/93,North Carolina A&T,CB,70,185,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Darius Phillips,CB,480000,54388,NA,NA,NA,NA,NA,-217553,534388,0.28,Cincinnati Bengals,71528972,17516595,112195970,59.43,2018,CB,NA,31.5,NA,2560839,6/26/95,Western Michigan,CB,70,190,NA,DB,170,4.54,NA,NA,NA,NA,NA,69.875,190,1
Denzel Ward,CB,480000,4822792,NA,NA,NA,NA,NA,-29165356,5302792,2.25,Cleveland Browns,80156032,34546471,142452164,60.33,2018,CB,NA,31.25,NA,2560916,4/28/97,Ohio State,CB,71,191,NA,DB,4,4.32,NA,39,NA,136,16,70.875,183,1
Tramaine Brock,CB,2.00E+06,1.00E+06,NA,NA,NA,NA,NA,-3.00E+06,3.00E+06,1.6,Denver Broncos,78250249,26154549,114730854,61.22,2010,NA,NA,NA,NA,2507917,8/20/88,Belhaven,CB,72,188,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Isaac Yiadom,CB,480000,190379,NA,NA,NA,NA,NA,-761516,670379,0.36,Denver Broncos,78250249,26154549,114730854,61.22,2018,CB,NA,32.25,NA,2560946,2/20/96,Boston College,DB,73,190,NA,DB,99,4.52,4.18,NA,NA,120,8,72.875,190,1
Chris Harris,CB,7400000,2.00E+06,NA,866666,1.00E+05,NA,5.00E+05,-11233334,10866666,5.8,Denver Broncos,78250249,26154549,114730854,61.22,2011,NA,NA,NA,NA,2530510,6/18/89,Kansas,CB,70,199,NA,DB,300,NA,NA,NA,NA,NA,NA,NA,NA,1
Marcus Cooper,CB,317647,NA,750000,NA,NA,NA,NA,-317647,1067647,0.59,Detroit Lions,63493237,34608332,109575685,60.42,2013,CB,NA,32.75,NA,2541202,2/1/90,Rutgers,CB,74,197,NA,DB,252,NA,NA,NA,NA,NA,NA,74.125,192,1
Jamal Agnew,CB,461294,64591,NA,NA,NA,NA,NA,-193773,525885,0.29,Detroit Lions,63493237,34608332,109575685,60.42,2017,CB,NA,29.5,NA,2558821,4/3/95,San Diego,CB,70,190,NA,DB,165,NA,NA,NA,NA,1005,NA,69.5,186,1
